id,name,acct_code,external_id,customer_id,user_id,project_location_id,project_stage_id,cost_center_id,billing_contact_id,shipping_contact_id,notes,recalc_warning,currency,budget,budget_time,budget_cost,rate,sga_labor,start_date,finish_date,notify_owner,notify_assignees,notify_issue_assigned_to,notify_issue_created_project_owner,notify_issue_created_customer_owner,notify_issue_closed_assigned_to,notify_issue_closed_project_owner,notify_issue_closed_customer_owner,invoice_text,invoice_layout_id,te_approver,az_approver,ta_approver,pr_approver,po_approver,br_approver,tb_approver,te_approvalprocess,az_approvalprocess,ta_approvalprocess,pr_approvalprocess,po_approvalprocess,br_approvalprocess,tb_approvalprocess,dirty,want_dirty,sync_customer,auto_bill,auto_bill_cap,auto_bill_cap_value,auto_bill_override,tax_rate_federal,tax_rate_state,tax_location_id,task_budget_cost,task_budget_revenue,defer_recalc,msp_link_type,sync_workspace,only_owner_can_edit,user_filter,timetype_filter,category_filter,assignment_cc,billing_code,message,active,deleted,created,updated,audit,notify_sr_submitted_project_owner,sold_to_contact_id,dashboard_from,enable_dashboard,attachment_id,custom_1,pm_approver_1,pm_approver_2,pm_approver_3,payroll_type_filter,te_allowance_approver,te_allowance_approvalprocess,cost_type_filter,custom_8,custom_10,portfolio_project_id,is_portfolio_project,project_exclude_filter,customer_exclude_filter,rv_approver,rv_approvalprocess,custom_15,custom_16,credit_invoice_layout_id,rate_card_id,rm_approver,rm_approvalprocess,bg_approver,bg_approvalprocess,contact_id,custom_17,custom_18,newsfeed_id,custom_27,custom_34,custom_37,custom_38,custom_40,custom_41,custom_42,custom_43,custom_44,custom_65,custom_66,custom_68,custom_71,custom_88,custom_89,custom_90,custom_91,custom_92,custom_93,custom_94,custom_95,custom_96,custom_97,custom_98,custom_99,custom_125,custom_127,custom_133,custom_137,custom_143,custom_146,custom_150,custom_158
15,TEST - PACS with 3rd Party,,,344,0,0,4,0,0,0,.,,CAD,0,0,0,0,0,4/2/2021,4/2/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,4/4/2021 12:43,4/6/2021 5:38,,,0,,,0,,0,0,0,,0,0,,8014W000003e2nLQAQ,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,11,0,,,,,,,,,,,,349565.48,4/3/2021,,0000-00-00,,0000-00-00,,,,,,,,ZABT : Q-00012,,2409,https://inteleradmedicalsystems--full.lightning.force.com/lightning/r/Order/8014W000003e2nLQAQ/view,,,0000-00-00
16,TEST - PACS with 3rd Party Test,,,344,0,0,2,0,0,0,,,CAD,0,0,0,0,0,4/3/2021,4/3/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,4/4/2021 13:08,4/4/2021 13:10,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,12,0,,,,,,,,,,,,349565.48,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,ZABT : Q-00012 - Third Party,,2509,,,,0000-00-00
17,TEST - Smoke Test - Recreated,,,344,0,0,4,0,0,0,,,CAD,0,0,0,0,0,5/1/2021,4/30/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,4/4/2021 13:41,4/6/2021 5:39,,,0,,,0,,0,0,0,,0,0,,8014W000003e2l5QAA,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,13,0,,,,,,,,,,,,0,4/4/2021,,0000-00-00,,0000-00-00,,,,,,,,ZABT : Q-00009,,2707,https://inteleradmedicalsystems--full.lightning.force.com/lightning/r/Order/8014W000003e2l5QAA/view,,,0000-00-00
18,5527 - For Deletion,,NA,12,0,0,8,0,0,0,,,GBP,0,0,0,0,0,1/22/2021,1/22/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,,1,4/4/2021 16:27,5/25/2021 17:47,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,14,0,,,,,,,,,,,,31608,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,NA,,Delete,,,,0000-00-00
19,ARSC - InteleOne + Clario SWL Implementation - RITM0029204,,RITM0029204,19,80,2,4,0,0,0,,,USD,0,70,0,0,0,12/1/2020,9/24/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,7/1/2021 8:52,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,15,0,,,,,,,,,,,,103398,0000-00-00,,0000-00-00,,9/30/2021,,Yellow,,Yellow,,,,ARSC : RITM0029204,,8033,,,#Q-04837,0000-00-00
20,AUHIS - iCAR Project Ticket,,RITM0012785,35,76,1,4,0,0,0,,,AUD,0,0,0,0,0,12/11/2019,9/17/2021,,,,,,,,,,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,16,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,6/30/2021,,,,,,,,AUHIS : RITM0012785,,8041,,,#Q03434.2,0000-00-00
21,Site Addition,,RITM0012785,35,76,0,4,0,0,0,,,AUD,0,0,0,0,0,10/8/2020,10/8/2020,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,4/4/2021 16:27,5/1/2021 11:19,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,17,0,,,,,,,,,,,,223792,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,AUHIS : Q-0XXXX AUHIS1,,5255,,,,0000-00-00
22,AUSCR - LDAP - RITM0031104,,RITM0031104,50,98,1,4,0,0,0,Taz says good luck!,,AUD,0,0,0,0,0,11/13/2020,7/29/2021,,,,,,,,,,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,18,0,,,,,,,,17- Server Addition,Project,,,0,0000-00-00,2,7/27/2021,,12/31/2021,,,,,,,,AUSCR : RITM0031104,,8048,,,,0000-00-00
23,AUWAH - IntelePACS Implementation,,RITM0023875,349,76,1,4,0,0,0,"ARR is spanned over time, commencing on 22 Oct through 2 Jun 2022",,AUD,0,0,0,0,0,11/28/2019,1/26/2039,,,,,,,,,,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,19,0,,,,,,,,,,,,1224689,0000-00-00,,0000-00-00,,10/22/2021,Yellow,Green,"Project is approx 6 months behind original schedule proposed 2 years ago, has been rebaslined since then so reporting schedule as GREEN. Resource requirements for training may make training unachievable, it remains to be seen as the training plan and roster have yet to be published by the client, reporting Resource health as AMBER. Defects which have surfaced from UAT are often outside of the scope of project which has caused many discussions over scope pulling in Sales, Legal and management teams, reporting scope health as AMBER",Yellow,Yellow,,,AUWAH : RITM0023875,,8062,,,#Q-0XXXX,0000-00-00
24,5393 - For Deletion,,NA,350,0,0,8,0,0,0,,,USD,0,0,0,0,0,1/31/2019,1/31/2019,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,,1,4/4/2021 16:27,5/25/2021 17:47,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,20,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,NA,,Delete,,,,0000-00-00
25,5217 - For Deletion,,NA,350,0,0,8,0,0,0,,,USD,0,0,0,0,0,11/18/2020,11/18/2020,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,,1,4/4/2021 16:27,5/25/2021 17:47,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,21,0,,,,,,,,,,,,25000,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,NA,,Delete,,,,0000-00-00
26,"BLR - Clario SmartWorklist, Reporting, and Odyssey AI Implementation - Clario waived PM hours - to delete",,RITM0030115,68,37,0,8,0,0,0,,,USD,0,0,0,0,0,12/1/2020,6/10/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,,1,4/4/2021 16:27,5/1/2021 12:54,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,22,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,BLR : Q-0XXXX BLR,,3485,,,,0000-00-00
27,CMH - Clario SmartWorklist Implementation - RITM0032551,,RITM0032551,84,224,2,4,0,0,0,,,USD,0,0,0,0,0,2/3/2021,9/30/2021,,,,,,,,,,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,23,0,,,,,,,,,,,,59800,0000-00-00,,0000-00-00,,10/1/2021,,,,,,,,CMH : RITM0032551,,8090,,,#Q-05175,0000-00-00
28,CRMC - Nuage Migration to Radius - RITM0029742,,RITM0029742,93,61,2,8,0,0,0,,,USD,0,0,0,0,0,9/9/2020,4/29/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,5/10/2021 11:51,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,24,0,,,,,,,,,,,,0,4/30/2021,,4/30/2021,,4/30/2021,,,,,,,,CRMC : RITM0029742,,8094,,,,0000-00-00
29,CRR Clario and Odyssey - PM waived hours,,RITM0031296,94,37,0,4,0,0,0,,,USD,0,0,0,0,0,12/1/2020,7/15/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,1,4/4/2021 16:27,4/15/2021 14:21,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,25,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,CRR : Q-0XXXX CRR,,3488,,,,0000-00-00
30,DCA - Peer Review - RITM0030953,,RITM0030953,101,128,2,5,0,0,0,,,USD,0,0,0,0,0,10/31/2018,4/29/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,26,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,8/1/2021,,,,,,,,DCA : RITM0030953,,8102,,,,0000-00-00
31,TRIAL - Odyssey (and PM Hours),,RITM0031927,117,204,0,4,0,0,0,Review,,USD,0,0,0,0,0,12/11/2020,5/13/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,27,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,FINAO : Q-0XXXX FINAO,,5187,,,,0000-00-00
32,GDA - Implement Image Fusion / LDAP / 3D Server Side rendering - RITM0031103,,RITM0031103,128,98,1,4,0,0,0,,,AUD,0,0,0,0,0,11/13/2020,12/2/2021,,,,,,,,,,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/30/2021 3:34,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,29,28,0,,,,,,,,"16- New Module, Feature, or Product",Project,,,0,0000-00-00,4,12/31/2021,,12/31/2021,,,,,,,,GDA : RITM0031103,,8117,,,,0000-00-00
33,5280 - For Deletion,,NA,353,0,0,8,0,0,0,,,USD,0,0,0,0,0,9/9/2020,9/9/2020,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,,1,4/4/2021 16:27,5/25/2021 17:47,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,29,0,,,,,,,,,,,1,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,NA,,Delete,,,,0000-00-00
34,HPRA - Clario Smart Worklist Implementation - RITM0025367,,RITM0025367,355,204,2,4,0,0,0,,,USD,0,0,0,0,0,12/1/2020,4/27/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,30,0,,,,,,,,,,,,129313,0000-00-00,,0000-00-00,,0000-00-00,,Yellow,Risk Category: Client 3rd party,Yellow,,,,HPRA : RITM0025367,,8128,,,#Q-04514,0000-00-00
35,5200 - For Deletion,,NA,143,78,0,8,0,0,0,,,USD,0,0,0,0,0,12/1/2020,12/1/2020,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,,1,4/4/2021 16:27,5/25/2021 17:47,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,31,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,NA,,Delete,,,,0000-00-00
36,IDX - Clario SmartWorklist - RITM0032263,,RITM0032263,356,100,1,4,0,0,0,,,AUD,0,0,0,0,0,2/8/2021,7/19/2021,,,,,,,,,,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,"i. Thirty percent (30%) due upon signing of this Order Form.
ii. Thirty percent (30%) due upon Go-Live Date.
iii. Thirty-three percent (33%) due upon Acceptance of the PoC period described in Section 6.1 below.
iv. Seven percent (7%) due upon three (3) months after the Acceptance of the PoC period.",1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,16,32,0,,,,,,,,03- Clario,Project,,,1924,0000-00-00,2,7/20/2021,Green,7/20/2021,Yellow,Yellow,"[2021-06-11 BG]: The project is being pushed to a go-live that is earlier than what the project plan indicates. There are currently unanswered scope questions, and we don't have a HL7 feed yet.",Yellow,Yellow,,,IDX : RITM0032263,,8132,,,,0000-00-00
37,IOMRI - Patient portal - RITM0031516,,RITM0031516,157,73,2,8,0,0,0,,,CAD,0,0,0,0,0,1/17/2020,5/28/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/2/2021 9:21,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,33,0,,,,,,,,,,,,936,5/11/2021,,0000-00-00,,0000-00-00,,,,,,,,IOMRI : RITM0031516,,8145,,,#Q-08560,0000-00-00
38,5404 - For Deletion,,NA,170,116,0,8,0,0,0,Should this be cancelled?,,AUD,0,0,0,0,0,3/22/2021,3/22/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,,1,4/4/2021 16:27,5/25/2021 17:47,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,34,0,,,,,,,,,,,,56351,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,NA,,Delete,,,,0000-00-00
39,5195 - For Deletion,,NA,183,0,0,8,0,0,0,,,CAD,0,0,0,0,0,12/3/2020,12/3/2020,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,,1,4/4/2021 16:27,5/25/2021 17:47,,,0,,,0,,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,35,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,NA,,Delete,,,,0000-00-00
40,MNHHS - RedCliffe Deployment - Project Hand-off - RITM0023258,,RITM0023258,190,53,1,5,0,0,0,,,AUD,0,0,0,0,0,4/23/2020,10/28/2021,,,,,,,,,,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,7/5/2021 3:04,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,34,36,0,,,,,,,,06- Site Addition,Project,,,93274,0000-00-00,3,10/29/2021,,11/30/2021,,,,,,,,MNHHS : RITM0023258,,8164,,,,0000-00-00
41,MRA - 202005 MRA: PROJECT - IntelePACS & Clario - RITM0027571,,RITM0027571,358,68,2,4,0,0,0,,,USD,0,0,0,0,0,12/1/2020,8/12/2021,,,,,,,,,,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,37,0,,,,,,,,04- PACS+Clario,Project,,,0,0000-00-00,,0000-00-00,Yellow,8/31/2021,Green,Green,,Green,Green,,,MRA : RITM0027571,,8165,,,#Q-04535,0000-00-00
42,NSH - PARENT: NSH PACS Deployment - RITM0017922,,RITM0017922,359,204,2,4,0,0,0,,,USD,0,0,0,0,0,10/23/2018,1/28/2022,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,38,0,,,,,,,,,,,,0,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,NSH : RITM0017922,,8178,,,,0000-00-00
43,PRS - Phase Two Project: Addition of Features - RITM0024165,,RITM0024165,236,194,2,2,0,0,0,,,USD,0,0,0,0,0,1/31/2019,8/30/2021,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0,,,,,,,,,,,1,,4/4/2021 16:27,6/28/2021 16:44,,,0,,,0,1,0,0,0,,0,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,39,0,,,,,,,,,,,,34800,0000-00-00,,0000-00-00,,0000-00-00,,,,,,,,PRS : RITM0024165,,8004,,,,0000-00-00
